iter	Passed	Remaining
0	10	3084
1	14	2213
2	19	1939
3	24	1814
4	28	1696
5	32	1603
6	37	1564
7	42	1541
8	46	1513
9	51	1481
10	55	1468
11	59	1439
12	64	1429
13	69	1417
14	74	1407
15	78	1396
16	83	1384
17	88	1385
18	93	1384
19	97	1370
20	102	1359
21	107	1353
22	112	1349
23	116	1343
24	121	1335
25	126	1332
26	131	1324
27	135	1317
28	140	1313
29	145	1307
30	150	1304
31	154	1295
32	159	1293
33	164	1285
34	169	1281
35	174	1282
36	178	1272
37	184	1271
38	189	1266
39	193	1260
40	198	1256
41	203	1249
42	208	1248
43	213	1242
44	218	1239
45	223	1235
46	228	1229
47	233	1224
48	237	1217
49	242	1212
50	247	1208
51	251	1201
52	256	1196
53	261	1189
54	265	1184
55	270	1177
56	274	1171
57	279	1166
58	284	1161
59	288	1155
60	293	1150
61	297	1143
62	302	1137
63	306	1132
64	311	1126
65	316	1120
66	320	1115
67	325	1108
68	329	1103
69	334	1098
70	339	1094
71	343	1089
72	348	1083
73	352	1077
74	357	1071
75	361	1066
76	366	1060
77	370	1055
78	375	1051
79	380	1046
80	384	1040
81	389	1035
82	393	1029
83	398	1024
84	402	1018
85	407	1014
86	412	1009
87	417	1004
88	422	1001
89	426	995
90	431	991
91	436	987
92	441	983
93	446	977
94	451	973
95	456	970
96	461	964
97	465	960
98	471	956
99	476	952
100	480	947
101	485	943
102	491	939
103	496	935
104	501	930
105	506	927
106	511	922
107	516	917
108	522	915
109	527	910
110	532	906
111	537	902
112	542	897
113	548	894
114	553	890
115	557	885
116	563	880
117	567	875
118	573	872
119	579	869
120	584	864
121	590	861
122	596	857
123	601	853
124	606	849
125	611	844
126	616	839
127	622	835
128	626	830
129	631	825
130	637	822
131	642	817
132	647	812
133	652	808
134	657	803
135	662	799
136	669	796
137	674	791
138	679	786
139	684	782
140	688	776
141	693	771
142	698	766
143	702	761
144	707	756
145	711	750
146	715	745
147	720	740
148	725	735
149	729	729
150	734	724
151	738	719
152	743	714
153	748	709
154	753	704
155	757	699
156	762	694
157	767	690
158	772	684
159	777	680
160	782	675
161	789	672
162	795	668
163	803	666
164	808	661
165	813	656
166	818	651
167	824	647
168	830	643
169	836	639
170	841	634
171	845	629
172	851	625
173	856	619
174	860	614
175	865	609
176	870	604
177	875	600
178	880	595
179	885	590
180	889	584
181	894	579
182	899	574
183	903	569
184	908	564
185	913	559
186	917	554
187	922	549
188	926	544
189	931	539
190	936	534
191	940	529
192	944	523
193	949	518
194	954	513
195	959	508
196	963	503
197	967	498
198	972	493
199	976	488
200	981	483
201	986	478
202	991	473
203	995	468
204	1000	463
205	1004	458
206	1009	453
207	1014	448
208	1018	443
209	1023	438
210	1027	433
211	1032	428
212	1036	423
213	1040	418
214	1045	413
215	1049	408
216	1054	403
217	1058	398
218	1063	393
219	1067	388
220	1072	383
221	1076	378
222	1081	373
223	1086	368
224	1091	363
225	1095	358
226	1099	353
227	1104	348
228	1108	343
229	1113	338
230	1117	333
231	1122	329
232	1126	324
233	1132	319
234	1136	314
235	1140	309
236	1145	304
237	1150	299
238	1155	294
239	1160	290
240	1165	285
241	1170	280
242	1174	275
243	1180	270
244	1185	266
245	1190	261
246	1196	256
247	1200	251
248	1205	246
249	1209	241
250	1215	237
251	1219	232
252	1224	227
253	1229	222
254	1233	217
255	1238	212
256	1243	208
257	1248	203
258	1253	198
259	1257	193
260	1263	188
261	1267	183
262	1272	179
263	1277	174
264	1282	169
265	1287	164
266	1292	159
267	1297	154
268	1301	150
269	1306	145
270	1311	140
271	1316	135
272	1321	130
273	1325	125
274	1331	121
275	1335	116
276	1340	111
277	1346	106
278	1350	101
279	1355	96
280	1360	92
281	1365	87
282	1369	82
283	1374	77
284	1379	72
285	1383	67
286	1389	62
287	1394	58
288	1399	53
289	1403	48
290	1408	43
291	1413	38
292	1417	33
293	1422	29
294	1428	24
295	1432	19
296	1436	14
297	1442	9
298	1446	4
299	1451	0
